model,H,condition,story,l2_norm_median,participation_ratio,evr_at_100
pythia,128,ctx1,myfirstdaywiththeyankees,26.86868230687915,2.3209629593519936,0.9554133931685979
pythia,128,ctx1,naked,26.61069937108293,2.310278682146087,0.9648143167495598
pythia,128,ctx1,notontheusualtour,27.025892895226907,1.821905231526982,0.9822760413908226
pythia,128,ctx1,odetostepfather,26.618176941066938,1.9617786967396396,0.9644954591880524
pythia,128,ctx1,onlyonewaytofindout,27.254062289017668,1.6250973974548386,0.9750990940823528
pythia,128,ctx1,penpal,27.042316367452543,2.2342774238746435,0.9704812247880782
pythia,128,ctx1,quietfire,26.901956329325387,2.1776825337093393,0.951335332875623
pythia,128,ctx1,reachingoutbetweenthebars,27.259788672441058,1.5554056276160049,0.9805587576712482
pythia,128,ctx1,shoppinginchina,27.236021905621,1.8212856070282135,0.9708672450969191
pythia,128,ctx1,singlewomanseekingmanwich,27.096445811826623,1.675293249547747,0.9752007560359153
pythia,128,ctx1,sloth,27.456941106417442,1.6262582722589123,0.9695428558113848
pythia,128,ctx1,souls,26.891919030568204,1.8599851492379533,0.9691003661130142
pythia,128,ctx1,stagefright,27.003319890021416,2.1048278345884386,0.9702719849770861
pythia,128,ctx1,stumblinginthedark,27.037355045683565,1.982582718205873,0.9564887079305978
pythia,128,ctx1,superheroesjustforeachother,26.964792766261986,1.6343069994120605,0.9767716575244654
pythia,128,ctx1,sweetaspie,26.609701266203516,1.4759743057363304,0.9983267257942966
pythia,128,ctx1,swimmingwithastronauts,27.2885155530631,1.7877172635074674,0.9692357985392547
pythia,128,ctx1,thatthingonmyarm,26.867385253445082,1.946392753835527,0.9596778623836529
pythia,128,ctx1,theadvancedbeginner,26.756773119627027,1.7135606206912315,0.9775622990132776
pythia,128,ctx1,theclosetthatateeverything,27.211222089731557,1.874051123792248,0.9721966766095788
pythia,128,ctx1,thecurse,26.946779284003252,1.6150934727189354,0.9726871690493832
pythia,128,ctx1,thefreedomridersandme,27.262303091592074,1.9426566027238135,0.9681231193314879
pythia,128,ctx1,theinterview,26.879408869267763,1.5784551393929087,0.989319135058187
pythia,128,ctx1,thepostmanalwayscalls,27.073396464853126,1.8692839854218604,0.9657077836637453
pythia,128,ctx1,theshower,26.793475689083138,1.9834694715077459,0.964522188539231
pythia,128,ctx1,thetiniestbouquet,26.980189225912966,1.501749204271309,0.9945686810181602
pythia,128,ctx1,thetriangleshirtwaistconnection,26.946460721368172,1.8963962632011315,0.9843120872252668
pythia,128,ctx1,threemonths,26.905770250645727,1.6530952180786298,0.9748289099893774
pythia,128,ctx1,thumbsup,27.172878692016162,2.6202929169647913,0.9453923955127359
pythia,128,ctx1,tildeath,27.155552822891398,1.8644783469326376,0.9708920389847926
pythia,128,ctx1,treasureisland,27.58604239967157,1.728370209437682,0.9727817412527366
pythia,128,ctx1,undertheinfluence,27.45034342320032,1.681520943885034,0.978130571024268
pythia,128,ctx1,vixenandtheussr,27.125361404360987,2.227066142762153,0.9562139586191312
pythia,128,ctx1,waitingtogo,27.301482442823335,2.0024379693654275,0.961530279147864
pythia,128,ctx1,whenmothersbullyback,27.108406876309175,1.8784978478851735,0.9690774790408524
pythia,128,ctx1,wildwomenanddancingqueens,26.75326753024751,1.9981940567357577,0.9863871755059281
rwkv,8,normal,adollshouse,1001.2227945419602,1.0728248601814794,0.9980062409932356
rwkv,8,normal,adventuresinsayingyes,1002.551827039863,1.137680657291915,0.9923011378810943
rwkv,8,normal,afatherscover,994.469217390931,1.1081556722632584,0.9957388493671817
rwkv,8,normal,againstthewind,997.3177785177652,1.0761796833214545,0.9993981780633472
rwkv,8,normal,alternateithicatom,997.9107532734564,1.11910372770899,0.9943057359931244
rwkv,8,normal,avatar,995.6166047501928,1.0830357273641822,0.9962250812554548
rwkv,8,normal,backsideofthestorm,985.2038395584347,1.1411410527165025,0.9933321764909441
rwkv,8,normal,becomingindian,1002.0548848765538,1.1630460639624467,0.9917399483093962
rwkv,8,normal,beneaththemushroomcloud,982.535448134492,1.1466184722918626,0.9927458614814221
rwkv,8,normal,birthofanation,978.528953295868,1.134259921807569,0.9949055896590652
rwkv,8,normal,bluehope,983.4055685310058,1.1164468388401108,0.9930948008079884
rwkv,8,normal,breakingupintheageofgoogle,1005.7654586162646,1.11947739494503,0.9926146596156853
rwkv,8,normal,buck,978.1364385711903,1.0940324516372861,0.9959952503759585
rwkv,8,normal,catfishingstrangerstofindmyself,981.5627745226886,1.091407435382415,0.9958321272850656
rwkv,8,normal,cautioneating,993.1992623848779,1.0991623378741175,0.9963716401204148
rwkv,8,normal,christmas1940,995.3776866644401,1.1067831759863886,0.9970085566385107
rwkv,8,normal,cocoonoflove,984.635227860869,1.1244501378661862,0.9930374585864421
rwkv,8,normal,comingofageondeathrow,988.9438240197474,1.1327525932879914,0.99304650798584
rwkv,8,normal,exorcism,1009.7933168586279,1.148709276020993,0.9913921992452902
rwkv,8,normal,eyespy,990.8829121485653,1.1189970613548241,0.9938240330874133
rwkv,8,normal,firetestforlove,1004.5208132811547,1.1356441963837889,0.9942408478207208
rwkv,8,normal,food,983.2361626674777,1.1275592775058745,0.9935599749954546
rwkv,8,normal,forgettingfear,985.7373459533901,1.1175512849421572,0.9960708578032538
rwkv,8,normal,fromboyhoodtofatherhood,990.1136266662359,1.1812421493221346,0.9908139257620069
rwkv,8,normal,gangstersandcookies,1005.9694960341819,1.1607001874389358,0.9941004119568047
rwkv,8,normal,goingthelibertyway,1000.2454481487489,1.1509413216849573,0.9917542033891338
rwkv,8,normal,goldiethegoldfish,983.1622258010781,1.109504994617986,0.9949992528910012
rwkv,8,normal,golfclubbing,985.5694380306946,1.1292990388054105,0.9972219878479464
rwkv,8,normal,gpsformylostidentity,979.4503866160514,1.1365983339299683,0.9932601192648515
rwkv,8,normal,hangtime,1003.9497304743422,1.1573742493042123,0.9933497353289714
rwkv,8,normal,haveyoumethimyet,994.263831394793,1.0929857125146611,0.9942602065818702
rwkv,8,normal,howtodraw,992.0415629428132,1.1297443495042028,0.9932713921910759
rwkv,8,normal,ifthishaircouldtalk,1001.8270401861237,1.1248660922486304,0.9957807494720952
rwkv,8,normal,inamoment,1002.6160344592278,1.0931593607605146,0.9983414067116351
rwkv,8,normal,itsabox,1005.2761423916481,1.1075632304587992,0.9950974955677256
rwkv,8,normal,jugglingandjesus,995.9518334224763,1.0673965642632284,0.9991846602912772
rwkv,8,normal,kiksuya,995.9812710389378,1.1386799466526563,0.993297669453496
rwkv,8,normal,leavingbaghdad,992.9531000090456,1.1398251434561362,0.9935742088430201
rwkv,8,normal,legacy,1000.8028216162321,1.0771328622566576,0.9961715683021857
rwkv,8,normal,life,1002.8879004074951,1.0954852717337509,0.9946608520207885
rwkv,8,normal,lifeanddeathontheoregontrail,989.8113047096269,1.1146566365074557,0.994132652426454
rwkv,8,normal,lifereimagined,1001.7275531302316,1.1106606925271634,0.9950900571364353
rwkv,8,normal,listo,998.730906939281,1.150060363455209,0.993253438079974
rwkv,8,normal,mayorofthefreaks,995.0836618532578,1.1177599277269004,0.9932640550589104
rwkv,8,normal,metsmagic,987.9717185078106,1.1414874013977359,0.9956896132099056
rwkv,8,normal,mybackseatviewofagreatromance,971.1610380569546,1.134355936329574,0.9924595960417292
rwkv,8,normal,myfathershands,1002.9292220921814,1.1020088435679514,0.9987129018403266
rwkv,8,normal,myfirstdaywiththeyankees,987.3647996991026,1.1639479702316644,0.9918869049849508
rwkv,8,normal,naked,997.4471098122638,1.1263822254866465,0.9933086651147618
rwkv,8,normal,notontheusualtour,991.4273186599447,1.1093183601988903,0.9969616158813128
rwkv,8,normal,odetostepfather,1000.8509342936891,1.107879531768839,0.994522222181535
rwkv,8,normal,onlyonewaytofindout,996.4768845969738,1.0947465449855713,0.9953894242677328
rwkv,8,normal,penpal,1000.8652584828681,1.1566335181289082,0.994386260516065
rwkv,8,normal,quietfire,989.6615922492527,1.1895256950773756,0.98976371298388
rwkv,8,normal,reachingoutbetweenthebars,978.7746671785947,1.091387406892285,0.9963178095720682
rwkv,8,normal,shoppinginchina,989.5725275109223,1.1124996538801333,0.9943303750214072
rwkv,8,normal,singlewomanseekingmanwich,985.0451803217127,1.1142716055276969,0.9951345464055016
rwkv,8,normal,sloth,991.6529151493738,1.093979294687457,0.9945449510929217
rwkv,8,normal,souls,998.1632593503889,1.110566834550603,0.9944354262607215
rwkv,8,normal,stagefright,1007.0317704934847,1.1336720040781476,0.994792063068806
