model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,8,ctx1,gangstersandcookies,0.9221172202043388,0.2593006248622463
pythia,8,ctx1,goingthelibertyway,0.9196368883045942,0.20856388083980834
pythia,8,ctx1,goldiethegoldfish,0.9126409777967969,0.23576421610396273
pythia,8,ctx1,golfclubbing,0.9130920756226654,0.2755732325896378
pythia,8,ctx1,gpsformylostidentity,0.9088184803583632,0.21360182029683775
pythia,8,ctx1,hangtime,0.9181410629468111,0.2691589618951553
pythia,8,ctx1,haveyoumethimyet,0.9236630439373058,0.23986850767444853
pythia,8,ctx1,howtodraw,0.9218325547045627,0.26305583055220216
pythia,8,ctx1,ifthishaircouldtalk,0.9280761609855988,0.22920363286620696
pythia,8,ctx1,inamoment,0.9079013727073963,0.25779671573099866
pythia,8,ctx1,itsabox,0.9050937064972979,0.21523969987187275
pythia,8,ctx1,jugglingandjesus,0.9022472807158202,0.2766087403494073
pythia,8,ctx1,kiksuya,0.9097858291081075,0.22977892035208133
pythia,8,ctx1,leavingbaghdad,0.9232125459828439,0.19918464272170322
pythia,8,ctx1,legacy,0.8990803826004308,0.2426098999004692
pythia,8,ctx1,life,0.9076798389765439,0.24234562703729448
pythia,8,ctx1,lifeanddeathontheoregontrail,0.9292573423292794,0.2638159780127638
pythia,8,ctx1,lifereimagined,0.9171438802123932,0.2855510776934433
pythia,8,ctx1,listo,0.9209543380854863,0.23870197474646518
pythia,8,ctx1,mayorofthefreaks,0.9315840481968458,0.2508013252508759
pythia,8,ctx1,metsmagic,0.9193643703129599,0.24851552998117996
pythia,8,ctx1,mybackseatviewofagreatromance,0.9055054429823156,0.17823619389872358
pythia,8,ctx1,myfathershands,0.9146313077323087,0.22378321113729313
pythia,8,ctx1,myfirstdaywiththeyankees,0.9333640268113271,0.20137904934446793
pythia,8,ctx1,naked,0.9310931918800776,0.23200110977578123
pythia,8,ctx1,notontheusualtour,0.9201034772448555,0.2935328094241547
pythia,8,ctx1,odetostepfather,0.9238117739073108,0.22931644680453878
pythia,8,ctx1,onlyonewaytofindout,0.9101037139174096,0.2089120542678294
pythia,8,ctx1,penpal,0.9210547472471541,0.25298261232864633
pythia,8,ctx1,quietfire,0.905787449837495,0.29668092508150873
pythia,8,ctx1,reachingoutbetweenthebars,0.9079661977471116,0.2409983041187818
pythia,8,ctx1,shoppinginchina,0.9172713823883266,0.25998051709046094
pythia,8,ctx1,singlewomanseekingmanwich,0.9130191309952499,0.2142433133851586
pythia,8,ctx1,sloth,0.9136024354361748,0.25604374584597894
pythia,8,ctx1,souls,0.9154903036575465,0.26241843568601736
pythia,8,ctx1,stagefright,0.9260769171202018,0.24156201426711585
pythia,8,ctx1,stumblinginthedark,0.9158595074953821,0.2647636152845081
pythia,8,ctx1,superheroesjustforeachother,0.9056549699865546,0.1987446089395725
pythia,8,ctx1,sweetaspie,0.8916251252914847,0.2778184434177446
pythia,8,ctx1,swimmingwithastronauts,0.9194254797225754,0.24884239180060694
pythia,8,ctx1,thatthingonmyarm,0.9070835404859907,0.2709486311019874
pythia,8,ctx1,theadvancedbeginner,0.9069933499202114,0.25465592303728973
pythia,8,ctx1,theclosetthatateeverything,0.921736193809533,0.2258144852929546
pythia,8,ctx1,thecurse,0.9037386523539575,0.25773700127246263
pythia,8,ctx1,thefreedomridersandme,0.9064910072451723,0.2897035683886445
pythia,8,ctx1,theinterview,0.9187886112139175,0.283879407199288
pythia,8,ctx1,thepostmanalwayscalls,0.908089207644498,0.2526074415611265
pythia,8,ctx1,theshower,0.8909446638695793,0.24741907242526714
pythia,8,ctx1,thetiniestbouquet,0.9025530550945049,0.25769106759182664
pythia,8,ctx1,thetriangleshirtwaistconnection,0.9257014402032326,0.26888689079063416
pythia,8,ctx1,threemonths,0.9139149058809946,0.2271572177818606
pythia,8,ctx1,thumbsup,0.9311961383105956,0.24333345666964887
pythia,8,ctx1,tildeath,0.9304557404972161,0.24124929829952388
pythia,8,ctx1,treasureisland,0.9012139532358449,0.23425068329990437
pythia,8,ctx1,undertheinfluence,0.9140838144984983,0.22411126995886188
pythia,8,ctx1,vixenandtheussr,0.9125854556575461,0.21965769576319857
pythia,8,ctx1,waitingtogo,0.9074387070913206,0.22335369273732367
pythia,8,ctx1,whenmothersbullyback,0.9092552723592251,0.23035484312722695
