model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
rwkv,8,normal,firetestforlove,0.9909310548386518,0.28328848463640566
rwkv,8,normal,food,0.9893449890187699,0.3237859397351572
rwkv,8,normal,forgettingfear,0.9898933907450289,0.27891137861641474
rwkv,8,normal,fromboyhoodtofatherhood,0.992047982707372,0.28084689580844235
rwkv,8,normal,gangstersandcookies,0.9902021834628996,0.32335289546192386
rwkv,8,normal,goingthelibertyway,0.9908454138952021,0.27148465649494813
rwkv,8,normal,goldiethegoldfish,0.9887101473983672,0.293849135649677
rwkv,8,normal,golfclubbing,0.9901923668551138,0.30135818984846624
rwkv,8,normal,gpsformylostidentity,0.9892375410138414,0.27211460154635
rwkv,8,normal,hangtime,0.9907416183016973,0.3218216830946477
rwkv,8,normal,haveyoumethimyet,0.9901560642024625,0.2830804938359927
rwkv,8,normal,howtodraw,0.9903297876885961,0.3054485831891433
rwkv,8,normal,ifthishaircouldtalk,0.9913126384341275,0.2774947538443782
rwkv,8,normal,inamoment,0.9882928864902045,0.29863446524025344
rwkv,8,normal,itsabox,0.9885372544895255,0.2850812081784411
rwkv,8,normal,jugglingandjesus,0.9886446636774893,0.2965899151496488
rwkv,8,normal,kiksuya,0.9893234007665671,0.2807313021320008
rwkv,8,normal,leavingbaghdad,0.9900650723411922,0.29194380838235884
rwkv,8,normal,legacy,0.9884600993906547,0.2863003178949967
rwkv,8,normal,life,0.9897090433928255,0.2830251112622039
rwkv,8,normal,lifeanddeathontheoregontrail,0.9912285621719137,0.3070430426442347
rwkv,8,normal,lifereimagined,0.9900789281290663,0.32595514807781933
rwkv,8,normal,listo,0.990555894170665,0.3220342264328093
rwkv,8,normal,mayorofthefreaks,0.9913205341923038,0.32202392729010604
rwkv,8,normal,metsmagic,0.9907526160568516,0.30072720108253415
rwkv,8,normal,mybackseatviewofagreatromance,0.9885051440466441,0.24349962640508702
rwkv,8,normal,myfathershands,0.9899077815888635,0.2794460758720107
rwkv,8,normal,myfirstdaywiththeyankees,0.9918959644207053,0.2770516143490394
rwkv,8,normal,naked,0.9912213043859357,0.28223435894853605
rwkv,8,normal,notontheusualtour,0.9906009563019775,0.3320912386444789
rwkv,8,normal,odetostepfather,0.9915468861311799,0.2845948463509301
rwkv,8,normal,onlyonewaytofindout,0.9884210175691462,0.2784537593593663
