story,H,n_words,n_targets,origin_inclusion_rate,origin_inclusion_expected,form_repetition_rate
buck,128,1677,1549,0.08005164622336991,0.0763267740011926,0.4790187217559716
catfishingstrangerstofindmyself,8,1522,1394,0.00430416068866571,0.005256241787122208,0.07604017216642754
catfishingstrangerstofindmyself,32,1522,1394,0.03084648493543759,0.02102496714848883,0.23457675753228122
catfishingstrangerstofindmyself,128,1522,1394,0.10186513629842181,0.08409986859395532,0.45050215208034433
cautioneating,8,1587,1459,0.004797806716929404,0.005040957781978576,0.07607950651130911
cautioneating,32,1587,1459,0.013708019191226868,0.020163831127914304,0.23989033584647018
cautioneating,128,1587,1459,0.07813570938999315,0.08065532451165722,0.5126799177518848
christmas1940,8,1261,1133,0.00264783759929391,0.006344171292624901,0.08561341571050309
christmas1940,32,1261,1133,0.03265666372462489,0.025376685170499604,0.26654898499558694
christmas1940,128,1261,1133,0.10856134157105031,0.10150674068199841,0.5348631950573698
cocoonoflove,8,1984,1856,0.0026939655172413795,0.004032258064516129,0.09321120689655173
cocoonoflove,32,1984,1856,0.014547413793103448,0.016129032258064516,0.26023706896551724
cocoonoflove,128,1984,1856,0.04956896551724138,0.06451612903225806,0.4892241379310345
comingofageondeathrow,8,2212,2084,0.003838771593090211,0.003616636528028933,0.07773512476007678
comingofageondeathrow,32,2212,2084,0.012955854126679463,0.014466546112115732,0.2509596928982726
comingofageondeathrow,128,2212,2084,0.06381957773512476,0.05786618444846293,0.47456813819577737
exorcism,8,2949,2821,0.003544842254519674,0.0027127839945744322,0.10315490960652252
exorcism,32,2949,2821,0.009216589861751152,0.010851135978297729,0.27756114852889047
exorcism,128,2949,2821,0.03899326479971641,0.043404543913190916,0.5207373271889401
eyespy,8,2336,2208,0.0036231884057971015,0.003424657534246575,0.08288043478260869
eyespy,32,2336,2208,0.012681159420289856,0.0136986301369863,0.23007246376811594
eyespy,128,2336,2208,0.05344202898550725,0.0547945205479452,0.4519927536231884
firetestforlove,8,2286,2158,0.0027803521779425394,0.003499562554680665,0.09360518999073215
firetestforlove,32,2286,2158,0.012974976830398516,0.01399825021872266,0.27803521779425394
firetestforlove,128,2286,2158,0.05282669138090825,0.05599300087489064,0.5264133456904542
food,8,2064,1936,0.003615702479338843,0.003875968992248062,0.09194214876033058
food,32,2064,1936,0.00878099173553719,0.015503875968992248,0.24586776859504134
food,128,2064,1936,0.05630165289256198,0.06201550387596899,0.47107438016528924
forgettingfear,8,1240,1112,0.008093525179856115,0.0064516129032258064,0.07913669064748201
forgettingfear,32,1240,1112,0.015287769784172662,0.025806451612903226,0.21942446043165467
forgettingfear,128,1240,1112,0.10161870503597123,0.1032258064516129,0.47032374100719426
fromboyhoodtofatherhood,8,2755,2627,0.0015226494099733537,0.0029038112522686023,0.10392082223068139
fromboyhoodtofatherhood,32,2755,2627,0.011419870574800152,0.01161524500907441,0.2695089455652836
fromboyhoodtofatherhood,128,2755,2627,0.0426341834792539,0.04646098003629764,0.4918157594213932
gangstersandcookies,8,1547,1419,0.005637773079633545,0.005171299288946348,0.10923185341789993
gangstersandcookies,32,1547,1419,0.017618040873854827,0.02068519715578539,0.28047921071176884
gangstersandcookies,128,1547,1419,0.08386187455954898,0.08274078862314156,0.5355884425651868
goingthelibertyway,8,2471,2343,0.0038412291933418692,0.003237555645487657,0.10371318822023047
goingthelibertyway,32,2471,2343,0.01621852326077678,0.012950222581950627,0.29364063166880067
goingthelibertyway,128,2471,2343,0.0499359795134443,0.05180089032780251,0.5364916773367477
goldiethegoldfish,8,1680,1552,0.004510309278350515,0.004761904761904762,0.09278350515463918
goldiethegoldfish,32,1680,1552,0.019329896907216496,0.01904761904761905,0.25322164948453607
goldiethegoldfish,128,1680,1552,0.07216494845360824,0.0761904761904762,0.4677835051546392
golfclubbing,8,1211,1083,0.00554016620498615,0.006606110652353427,0.11172668513388735
golfclubbing,32,1211,1083,0.027700831024930747,0.026424442609413706,0.29732225300092335
golfclubbing,128,1211,1083,0.11542012927054478,0.10569777043765483,0.5743305632502308
gpsformylostidentity,8,1650,1522,0.005913272010512484,0.0048484848484848485,0.07555847568988174
gpsformylostidentity,32,1650,1522,0.023653088042049936,0.019393939393939394,0.23390275952693823
gpsformylostidentity,128,1650,1522,0.07752956636005257,0.07757575757575758,0.4645203679369251
